|1010501008|,|00000000000000000006|;|1010305999|,|00000000000000000353|
|1010501008|,|00000000000000000025|;|1010305999|,|00000000000000000368|
|1010501008|,|00000000000000000018|;|1010305999|,|00000000000000000361|
|1010501008|,|00000000000000000017|;|1010305999|,|00000000000000000344|
|1010501008|,|00000000000000000021|;|1010305999|,|00000000000000000364|
|1010501008|,|00000000000000000004|;|1010305999|,|00000000000000000355|
|1010501008|,|00000000000000000015|;|1010305999|,|00000000000000000359|
|1010601002|,|00000000000000000163|;|1010701001|,|00000000000000000031|
|1010103999|,|00000000000000000061|;|1010102001|,|00000000000000100121|
|1010103999|,|00000000000000000004|;|1010102001|,|00000000000000100111|
|1010103999|,|00000000000000000078|;|1010102001|,|00000000000000100135|
|1010103999|,|00000000000000000040|;|1010102999|,|00000000000000900072|
|1010103999|,|00000000000000000062|;|1010102001|,|00000000000000100122|
|1010103999|,|00000000000000000079|;|1010102001|,|00000000000000100136|
|1010103999|,|00000000000000000005|;|1010102002|,|00000000000000000088|
|1010103999|,|00000000000000000065|;|1010102001|,|00000000000000100125|
|1010103999|,|00000000000000000041|;|1010102999|,|00000000000000900073|
|1010103999|,|00000000000000000006|;|1010102002|,|00000000000000000089|
|1010103999|,|00000000000000000080|;|1010102001|,|00000000000000100137|
|1010103999|,|00000000000000000090|;|1010102999|,|00000000000000900091|
|1010103999|,|00000000000000000043|;|1010102999|,|00000000000000900075|
|1010103999|,|00000000000000000020|;|1010102999|,|00000000000000900048|
|1010103999|,|00000000000000000051|;|1010102999|,|00000000000000900083|
|1010103999|,|00000000000000000046|;|1010102999|,|00000000000000900078|
|1010103999|,|00000000000000000023|;|1010102999|,|00000000000000900055|
|1010103999|,|00000000000000000042|;|1010102999|,|00000000000000900074|
|1010103999|,|00000000000000000052|;|1010102001|,|00000000000000100114|
|1010103999|,|00000000000000000141|;|1010102999|,|00000000000000900132|
|1010103999|,|00000000000000000142|;|1010102999|,|00000000000000900133|
|1010103999|,|00000000000000000148|;|1010102999|,|00000000000000900138|
|1010103999|,|00000000000000000137|;|1010102999|,|00000000000000900129|
|1010103999|,|00000000000000000138|;|1010102999|,|00000000000000900130|
|1010103999|,|00000000000000000139|;|1010102999|,|00000000000000900131|
|1010103999|,|00000000000000000017|;|1010102001|,|00000000000000100112|
|1010103999|,|00000000000000000100|;|1010102999|,|00000000000000900100|
|1010103999|,|00000000000000000098|;|1010102999|,|00000000000000900143|
|1010103999|,|00000000000000000097|;|1010102999|,|00000000000000900098|
|1010103999|,|00000000000000000096|;|1010102999|,|00000000000000900097|
|1010103999|,|00000000000000000053|;|1010102001|,|00000000000000100115|
