kd_sskel;thn_ang;kd_brg;kd_lokasi;tglbuku;kuantitas_lalu;total_lalu;mutasi_tambah;mutasi_krg;saldo_mutasi;kuantitas_akhir;total_akhir;ur_sskel;ur_brg;total_lalu_sskel;total_akhir_sskel
1010102002;2019;101010200200000000000000000107;024040400415582005KD;30-Jun-19 15:38:48;995;297629375;0;250;-250;745;222848125;Bahan Kimia Cair;NAT 2 (UPTD);297629375;222848125
1010204014;2019;101020401400000000000000000161;024040400415582005KD;30-Jun-19 15:38:48;250;8250000;0;0;0;250;8250000;Suku Cadang Alat Laboratorium Patologi;Anti HIV (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000162;024040400415582005KD;30-Jun-19 15:38:48;300;9900000;0;0;0;300;9900000;Suku Cadang Alat Laboratorium Patologi;Anti HCV (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000163;024040400415582005KD;30-Jun-19 15:38:48;400;9600000;0;100;-100;300;7200000;Suku Cadang Alat Laboratorium Patologi;HBsAg (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000164;024040400415582005KD;30-Jun-19 15:38:48;186;4017600;0;0;0;186;4017600;Suku Cadang Alat Laboratorium Patologi;Sifilis (uptd);721578735;738355465
1010204014;2018;101020401400000000000000000165;024040400415582005KD;30-Sep-18 10:42:57;0;0;0;0;0;0;0;Suku Cadang Alat Laboratorium Patologi;Liss Coomb Card /60x12 (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000166;024040400415582005KD;30-Jun-19 15:38:48;27;19035000;0;12;-12;15;10575000;Suku Cadang Alat Laboratorium Patologi;Diluent II (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000167;024040400415582005KD;30-Jun-19 15:38:48;148;10360000;150;59;91;239;16730000;Suku Cadang Alat Laboratorium Patologi;Anti A (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000168;024040400415582005KD;30-Jun-19 15:38:48;148;10360000;150;61;89;237;16590000;Suku Cadang Alat Laboratorium Patologi;Anti B (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000169;024040400415582005KD;30-Jun-19 15:38:48;3;210000;0;0;0;3;210000;Suku Cadang Alat Laboratorium Patologi;Anti AB (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000170;024040400415582005KD;30-Jun-19 15:38:48;53;6360000;150;52;98;151;18120000;Suku Cadang Alat Laboratorium Patologi;Anti D (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000171;024040400415582005KD;30-Jun-19 15:38:48;3;210000;0;0;0;3;210000;Suku Cadang Alat Laboratorium Patologi;Bovine Albumin 22% (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000172;024040400415582005KD;30-Jun-19 15:38:48;3;210000;0;1;-1;2;140000;Suku Cadang Alat Laboratorium Patologi;Anti Human Globulin (uptd);721578735;738355465
1010204014;2019;101020401400000000000000000173;024040400415582005KD;30-Jun-19 15:38:48;8;2296000;0;2;-2;6;1722000;Suku Cadang Alat Laboratorium Patologi;Anios D.D.S.H (uptd);721578735;738355465
